#	2.9478756625350555E-7	Directed	graph	(each	unordered	pair	of	nodes	is	saved	once):	soc-Epinions1.txt
(each	4.4664782765682656E-7
10241	1.8669879196055345E-5	792
10242	1.965250441690037E-6	414
10243	2.9478756625350555E-7	790
10244	3.635713317126568E-6	23075
10245	3.635713317126568E-6	1027
10246	2.9478756625350555E-7	415
10247	2.9478756625350555E-7	415
10248	1.965250441690037E-6	849
10249	1.1988027694309222E-5	15409
1025	1.7736385236252625E-4	75
10250	2.0576172124494747E-4	1398
10251	2.9478756625350555E-7	415
10252	3.2033582199547595E-5	47840
10253	5.306176192563099E-6	136
10254	1.965250441690037E-6	415
10255	6.377237683284168E-5	4969
10256	1.6999416320618815E-5	47848
10257	1.5328953445182282E-5	1649
10258	1.1988027694309222E-5	1259
10259	1.8669879196055345E-5	28045
1026	8.047700558720698E-5	3176
10260	5.306176192563099E-6	705
10261	5.306176192563099E-6	735
10262	1.3658490569745754E-5	6952
10263	2.9478756625350555E-7	415
10264	2.9478756625350555E-7	5969
10265	1.8669879196055345E-5	1179
10266	3.635713317126568E-6	415
10267	1.0317564818872692E-5	4788
10268	2.9478756625350555E-7	415
10269	6.97663906799963E-6	6330
1027	1.9072755536601857E-4	10
10270	2.9478756625350555E-7	416
10271	6.878376545915126E-5	6320
10272	5.306176192563099E-6	10550
10273	2.2010804946928405E-5	28
10274	1.3658490569745754E-5	18
10275	3.635713317126568E-6	6320
10276	5.306176192563099E-6	417
10277	2.9478756625350555E-7	125
10278	2.9478756625350555E-7	417
10279	2.9478756625350555E-7	417
1028	2.7258023626240913E-4	71402
10280	2.9478756625350555E-7	1440
10281	3.3704045074984125E-5	85
10282	1.6999416320618815E-5	47878
10283	3.635713317126568E-6	3985
10284	1.965250441690037E-6	104
10285	2.9478756625350555E-7	417
10286	2.9478756625350555E-7	2982
10287	1.965250441690037E-6	2448
10288	2.9478756625350555E-7	417
10289	1.965250441690037E-6
1029	9.641518666931223E-4	16973
10290	3.635713317126568E-6	6031
10291	1.8669879196055345E-5	3263
10292	2.9478756625350555E-7	418
10293	1.5328953445182282E-5	1719
10294	1.1988027694309222E-5	47884
10295	6.97663906799963E-6	418
10296	8.647101943436162E-6	1597
10297	2.0340342071491875E-5	7405
10298	2.9478756625350555E-7	419
10299	2.9478756625350555E-7	419
103	7.419803042600684E-4	11
1030	1.0386348584331841E-4	18
10300	2.9478756625350555E-7	419
10301	2.9478756625350555E-7	419
10302	2.9478756625350555E-7	419
10303	2.9478756625350555E-7	419
10304	2.9478756625350555E-7	419
10305	1.965250441690037E-6	4315
10306	6.043145108196862E-5	77
10307	2.0340342071491875E-5	420
10308	1.8669879196055345E-5	420
10309	2.869265644867453E-5	47900
1031	1.640001493590339E-4	3684
10310	2.3681267822364935E-5	7310
10311	1.523069092309781E-4	11884
10312	6.54428397082782E-5	549
10313	8.882931996438963E-5	2229
10314	2.3081866437649556E-4	3892
10315	5.306176192563099E-6	1719
10316	1.965250441690037E-6	420
10317	1.5328953445182282E-5	22758
10318	1.0317564818872692E-5	10307
10319	1.1988027694309222E-5	10306
1032	1.6065922360816083E-4	11114
10320	3.635713317126568E-6	10319
10321	7.713607983633392E-5	21605
10322	5.306176192563099E-6	2694
10323	2.9478756625350555E-7	420
10324	5.306176192563099E-6	18
10325	6.54428397082782E-5	6499
10326	3.8715433701293714E-5	33036
10327	3.2033582199547595E-5	18586
10328	5.306176192563099E-6	420
10329	2.9478756625350555E-7	420
1033	2.3415959012736866E-4	2661
10330	3.635713317126568E-6	143
10331	2.9478756625350555E-7	2992
10332	2.9478756625350555E-7	1629
10333	1.1988027694309222E-5	1207
10334	8.647101943436162E-6	5514
10335	1.3658490569745754E-5	2052
10336	1.0317564818872692E-5	1304
10337	1.965250441690037E-6	420
10338	1.965250441690037E-6	44
10339	2.9478756625350555E-7	3134
1034	1.965250441690037E-6	3792
10340	3.635713317126568E-6	421
10341	2.9478756625350555E-7	47968
10342	1.965250441690037E-6	421
10343	1.965250441690037E-6	1719
10344	2.9478756625350555E-7	7172
10345	3.635713317126568E-6	763
10346	2.9478756625350555E-7	421
10347	1.0317564818872692E-5	47970
10348	5.306176192563099E-6	1577
10349	4.87382109539129E-5	2253
1035	2.709097733869726E-4	790
10350	2.9478756625350555E-7	23749
10351	5.306176192563099E-6	422
10352	1.965250441690037E-6	422
10353	6.97663906799963E-6	422
10354	3.635713317126568E-6	19429
10355	3.635713317126568E-6	2632
10356	2.9478756625350555E-7	47980
10357	1.8669879196055345E-5	2527
10358	1.0317564818872692E-5	9129
10359	1.8669879196055345E-5	3969
1036	2.658983847606629E-4	1674
10360	1.965250441690037E-6	47983
10361	2.9478756625350555E-7	423
10362	8.647101943436162E-6	423
10363	2.7022193573238E-5	2543
10364	3.3704045074984125E-5	2543
10365	8.647101943436162E-6	10363
10366	1.3658490569745754E-5	4394
10367	1.965250441690037E-6	424
10368	3.635713317126568E-6
10369	5.306176192563099E-6	4617
1037	2.0242079549407437E-4	579
10370	8.381793133808004E-5	3138
10371	1.965250441690037E-6
10372	3.635713317126568E-6	854
10373	1.1988027694309222E-5	14047
10374	1.965250441690037E-6
10375	9.217024571526269E-5	22805
10376	2.2010804946928405E-5	11569
10377	5.207913670478596E-5	1892
10378	1.5328953445182282E-5	49
10379	1.5328953445182282E-5	4674
1038	5.306176192563099E-6	7888
10380	2.0340342071491875E-5	1879
10381	2.9478756625350555E-7	2234
10382	2.9478756625350555E-7	169
10383	2.9478756625350555E-7	425
10384	2.9478756625350555E-7	1439
10385	6.210191395740514E-5	4757
10386	5.306176192563099E-6	1023
10387	2.0340342071491875E-5	12874
10388	1.0317564818872692E-5	6003
10389	2.9478756625350555E-7	425
1039	1.965250441690037E-6	1423
10390	2.9478756625350555E-7	425
10391	2.9478756625350555E-7	425
10392	3.635713317126568E-6	2251
10393	8.647101943436162E-6	426
10394	3.635713317126568E-6	426
10395	6.210191395740514E-5	48029
10396	6.97663906799963E-6	42057
10397	5.306176192563099E-6	2307
10398	5.306176192563099E-6	427
10399	3.635713317126568E-6	48036
104	6.66809474865426E-4	555
1040	3.635713317126568E-6	33
10400	2.9478756625350555E-7	27335
10401	2.9478756625350555E-7	428
10402	3.635713317126568E-6	428
10403	1.0887487446962802E-4	9340
10404	2.0340342071491875E-5	48040
10405	3.635713317126568E-6	5307
10406	1.965250441690037E-6	429
10407	2.9478756625350555E-7	429
10408	2.9478756625350555E-7	429
10409	2.9478756625350555E-7	429
1041	2.9478756625350555E-7	32
10410	5.306176192563099E-6	5797
10411	2.9478756625350555E-7	429
10412	5.306176192563099E-6	5076
10413	1.0386348584331841E-4	18348
10414	7.713607983633392E-5	3520
10415	5.542006245565903E-5	6044
10416	1.0887487446962802E-4	10422
10417	6.377237683284168E-5	48060
10418	6.043145108196862E-5	5965
10419	3.3704045074984125E-5	48070
1042	5.306176192563099E-6	155
10420	7.212469121002432E-5	12907
10421	3.7044970825857184E-5	6171
10422	1.1722718884681073E-4	10416
10423	3.2033582199547595E-5	19281
10424	2.0242079549407437E-4	19733
10425	2.0340342071491875E-5	10420
10426	1.0219302296788187E-4	8783
10427	3.8715433701293714E-5	1753
10428	1.6999416320618815E-5	429
10429	1.1988027694309222E-5	20606
1043	1.965250441690037E-6	295
10430	3.2033582199547595E-5	32677
10431	6.210191395740514E-5	13798
10432	2.0340342071491875E-5	7047
10433	6.97663906799963E-6	34806
10434	1.0720441159419148E-4	9821
10435	2.9478756625350555E-7	30482
10436	5.040867382934943E-5	18007
10437	2.9478756625350555E-7	5951
10438	1.0317564818872692E-5	11228
10439	2.0340342071491875E-5	429
1044	4.7067748078476364E-5	301
10440	3.3704045074984125E-5	10560
10441	2.5351730697801468E-5	10448
10442	1.0720441159419148E-4	10448
10443	8.647101943436162E-6	1783
10444	2.9478756625350555E-7	429
10445	3.2033582199547595E-5	39874
10446	2.869265644867453E-5	2108
10447	4.5397285203039834E-5	429
10448	3.3704045074984125E-5	15844
10449	7.546561696089738E-5	4390
1045	1.1988027694309222E-5	111
10450	1.965250441690037E-6	429
10451	3.7044970825857184E-5	18647
10452	3.635713317126568E-6
10453	4.7067748078476364E-5	2864
10454	2.9478756625350555E-7	431
10455	1.965250441690037E-6	1021
10456	1.965250441690037E-6	1401
10457	2.9478756625350555E-7	5934
10458	8.647101943436162E-6	5766
10459	2.7022193573238E-5	1699
1046	1.5328953445182282E-5	2030
10460	3.635713317126568E-6	3033
10461	2.9478756625350555E-7	431
10462	2.9478756625350555E-7	431
10463	2.9478756625350555E-7	431
10464	2.9478756625350555E-7	48155
10465	2.9478756625350555E-7	431
10466	2.5351730697801468E-5	2694
10467	5.876098820653209E-5	19760
10468	1.965250441690037E-6	431
10469	5.37495995802225E-5	4969
1047	5.306176192563099E-6	689
10470	1.1988027694309222E-5	43637
10471	2.2010804946928405E-5	9306
10472	8.647101943436162E-6	2147
10473	3.036311932411106E-5	1811
10474	3.635713317126568E-6	431
10475	1.1988027694309222E-5	48185
10476	2.869265644867453E-5	10252
10477	1.0317564818872692E-5	38021
10478	5.709052533109556E-5	18886
10479	2.9478756625350555E-7	431
1048	1.965250441690037E-6	122
10480	2.9478756625350555E-7	431
10481	1.8669879196055345E-5	431
10482	1.3658490569745754E-5	48216
10483	3.5374507950420654E-5	431
10484	5.306176192563099E-6	1400
10485	6.377237683284168E-5	1179
10486	3.036311932411106E-5	8362
10487	2.3681267822364935E-5	48236
10488	1.5328953445182282E-5	431
10489	1.8669879196055345E-5	136
1049	3.036311932411106E-5	730
10490	2.9478756625350555E-7	431
10491	3.635713317126568E-6	2654
10492	1.5328953445182282E-5	1751
10493	5.37495995802225E-5	5199
10494	1.8669879196055345E-5	4862
10495	4.5397285203039834E-5	48240
10496	1.1988027694309222E-5	64
10497	6.97663906799963E-6	452
10498	2.7592116201328223E-4	27724
10499	2.0340342071491875E-5	18250
105	4.546606896849911E-4	71388
1050	2.9478756625350555E-7	3131
10500	1.1988027694309222E-5	40571
10501	3.635713317126568E-6
10502	1.965250441690037E-6
10503	2.2010804946928405E-5	23701
10504	1.8669879196055345E-5	19588
10505	2.07432184120384E-4	3679
10506	1.3560228047661269E-4	432
10507	2.9478756625350555E-7	432
10508	2.9478756625350555E-7	432
10509	2.9478756625350555E-7	432
1051	6.97663906799963E-6	3172
10510	8.647101943436162E-6	432
10511	2.0340342071491875E-5	14108
10512	6.97663906799963E-6	14533
10513	1.1988027694309222E-5	41871
10514	5.37495995802225E-5	432
10515	1.965250441690037E-6	432
10516	2.9478756625350555E-7	5220
10517	2.9478756625350555E-7	432
10518	2.9478756625350555E-7	432
10519	1.3658490569745754E-5	1908
1052	2.9478756625350555E-7	222
10520	2.9478756625350555E-7	432
10521	1.6999416320618815E-5	1028
10522	1.3658490569745754E-5	35
10523	2.9478756625350555E-7	432
10524	2.9478756625350555E-7	4422
10525	2.9478756625350555E-7	432
10526	2.9478756625350555E-7	2687
10527	2.9478756625350555E-7	432
10528	2.9478756625350555E-7	1075
10529	3.635713317126568E-6	433
1053	2.9478756625350555E-7	1031
10530	2.0340342071491875E-5	433
10531	5.306176192563099E-6	705
10532	3.635713317126568E-6	7593
10533	1.0317564818872692E-5	2479
10534	1.8669879196055345E-5	3856
10535	2.9478756625350555E-7	433
10536	2.9478756625350555E-7	7166
10537	2.9478756625350555E-7	7470
10538	2.9478756625350555E-7	434
10539	2.9478756625350555E-7	434
1054	2.9478756625350555E-7	295
10540	2.9478756625350555E-7	1178
10541	1.0317564818872692E-5	31
10542	3.635713317126568E-6	18
10543	6.97663906799963E-6	2145
10544	3.635713317126568E-6	435
10545	1.1988027694309222E-5	25226
10546	5.306176192563099E-6	436
10547	3.036311932411106E-5	8767
10548	1.3658490569745754E-5	48323
10549	3.2033582199547595E-5	1442
1055	3.635713317126568E-6	2793
10550	1.1388626309593764E-4	32989
10551	7.546561696089738E-5	398
10552	2.3681267822364935E-5	1315
10553	2.7022193573238E-5	22800
10554	5.876098820653209E-5	21105
10555	3.2033582199547595E-5	26048
10556	3.8715433701293714E-5	11778
10557	2.2010804946928405E-5	39874
10558	2.0340342071491875E-5	26048
10559	4.5397285203039834E-5	46868
1056	6.377237683284168E-5	2049
10560	4.7067748078476364E-5	9330
10561	4.2056359452166774E-5	10567
10562	4.3726822327603304E-5	10570
10563	1.965250441690037E-6	436
10564	3.7044970825857184E-5	436
10565	5.207913670478596E-5	10561
10566	3.3704045074984125E-5	1540
10567	4.3726822327603304E-5	10562
10568	2.3681267822364935E-5	10562
10569	1.965250441690037E-6	436
1057	2.2010804946928405E-5	1561
10570	2.2010804946928405E-5	9330
10571	3.7044970825857184E-5	13036
10572	3.635713317126568E-6	1620
10573	1.0317564818872692E-5	2565
10574	2.869265644867453E-5	1540
10575	5.306176192563099E-6	15802
10576	3.635713317126568E-6	48351
10577	3.635713317126568E-6	10569
10578	2.9478756625350555E-7	436
10579	2.9478756625350555E-7	436
1058	1.0317564818872692E-5	1120
10580	3.635713317126568E-6	19735
10581	2.9478756625350555E-7	3540
10582	1.965250441690037E-6	437
10583	2.9478756625350555E-7	437
10584	2.9478756625350555E-7	437
10585	2.9478756625350555E-7	438
10586	2.9478756625350555E-7	438
10587	1.965250441690037E-6	438
10588	2.9478756625350555E-7	438
10589	3.5374507950420654E-5	48355
1059	1.1889765172224727E-4	429
10590	2.9478756625350555E-7	438
10591	2.7022193573238E-5	18
10592	1.965250441690037E-6	438
10593	5.306176192563099E-6	723
10594	8.647101943436162E-6
10595	1.3658490569745754E-5	4338
10596	1.3658490569745754E-5	9794
10597	5.306176192563099E-6
10598	5.207913670478596E-5	46957
10599	1.5063644635554158E-4	1749
106	1.389432062274858E-4	5799
1060	1.965250441690037E-6	1167
10600	2.9478756625350555E-7	35285
10601	2.9478756625350555E-7	439
10602	2.9478756625350555E-7	439
10603	2.9478756625350555E-7	4828
10604	3.635713317126568E-6	48381
10605	2.2010804946928405E-5	38673
10606	1.0386348584331841E-4	18
10607	2.7022193573238E-5	20964
10608	1.3658490569745754E-5	440
10609	1.965250441690037E-6	440
10610	1.965250441690037E-6	879
10611	5.306176192563099E-6	440
10612	2.9478756625350555E-7	440
10613	2.9478756625350555E-7	1433
10614	5.306176192563099E-6	7051
10615	2.9478756625350555E-7	4875
10616	2.9478756625350555E-7	29562
10617	1.965250441690037E-6	1255
10618	1.965250441690037E-6	9534
10619	1.3658490569745754E-5	1178
1062	2.9478756625350555E-7	127
10620	8.647101943436162E-6	790
10621	1.8669879196055345E-5	128
10622	1.8669879196055345E-5	49
10623	1.1988027694309222E-5	3655
10624	9.885209721700881E-5	41718
10625	2.9478756625350555E-7	440
10626	1.3658490569745754E-5	1910
10627	1.965250441690037E-6	440
10628	1.1988027694309222E-5	1909
10629	7.04542283345878E-5	48416
1063	3.635713317126568E-6	2498
10630	3.7044970825857184E-5	8261
10631	3.635713317126568E-6	1441
10632	2.3681267822364935E-5	440
10633	1.5328953445182282E-5	777
10634	5.306176192563099E-6	441
10635	1.6999416320618815E-5	4939
10636	4.0385896576730244E-5	442
10637	3.7044970825857184E-5	442
10638	1.8669879196055345E-5	10647
10639	1.8669879196055345E-5	10645
1064	1.1988027694309222E-5	1176
10640	2.9478756625350555E-7	956
10641	2.9478756625350555E-7	442
10642	2.3681267822364935E-5	3893
10643	7.880654271177045E-5	20518
10644	1.8669879196055345E-5	442
10645	4.3726822327603304E-5	442
10646	4.3726822327603304E-5	10660
10647	2.0340342071491875E-5	27807
10648	2.2010804946928405E-5	47499
10649	2.869265644867453E-5	10636
1065	2.9478756625350555E-7	223
10650	8.647101943436162E-6	45570
10651	1.6999416320618815E-5	10643
10652	2.9478756625350555E-7	699
10653	1.0317564818872692E-5	2231
10654	1.0317564818872692E-5	442
10655	8.647101943436162E-6	10639
10656	6.97663906799963E-6	1619
10657	6.97663906799963E-6	10637
10658	1.0317564818872692E-5	10636
10659	6.97663906799963E-6	10655
1066	1.1988027694309222E-5	22
10660	6.97663906799963E-6	9827
10661	4.0385896576730244E-5	11548
10662	1.8669879196055345E-5	5209
10663	2.3681267822364935E-5	48455
10664	2.9478756625350555E-7	443
10665	2.9478756625350555E-7	443
10666	2.9478756625350555E-7	443
10667	2.9478756625350555E-7	443
10668	2.9478756625350555E-7	27
10669	1.965250441690037E-6	443
1067	1.965250441690037E-6	1024
10670	2.9478756625350555E-7	443
10671	2.9478756625350555E-7	443
10672	1.6999416320618815E-5	1405
10673	3.635713317126568E-6	445
10674	2.869265644867453E-5	7422
10675	8.214746846264351E-5	4454
10676	5.306176192563099E-6	3434
10677	1.965250441690037E-6
10678	3.635713317126568E-6	445
10679	1.965250441690037E-6	8112
1068	1.965250441690037E-6	976
10680	1.0317564818872692E-5	19742
10681	3.3704045074984125E-5	1903
10682	6.97663906799963E-6	790
10683	2.9478756625350555E-7	1129
10684	2.9478756625350555E-7	445
10685	2.9478756625350555E-7	445
10686	5.306176192563099E-6	48497
10687	6.97663906799963E-6	3514
10688	3.635713317126568E-6	445
10689	2.9478756625350555E-7	48500
1069	1.439545948537954E-4	715
10690	2.9478756625350555E-7	10676
10691	1.3658490569745754E-5	26850
10692	4.3726822327603304E-5	10467
10693	1.1988027694309222E-5	48512
10694	1.6999416320618815E-5	20176
10695	3.635713317126568E-6	18
10696	1.0317564818872692E-5	44
10697	2.2010804946928405E-5	3659
10698	1.122158002205011E-4	48530
10699	2.869265644867453E-5	4320
107	5.916386454707837E-4	725
1070	1.965250441690037E-6	17164
10700	4.0385896576730244E-5	4559
10701	3.036311932411106E-5	1892
10702	2.2010804946928405E-5	1128
10703	1.3059089185030306E-4	20203
10704	7.880654271177045E-5	48579
10705	2.2010804946928405E-5	9072
10706	1.965250441690037E-6	48586
10707	3.635713317126568E-6	23360
10708	1.1988027694309222E-5
10709	2.9478756625350555E-7	446
1071	4.3726822327603304E-5	9130
10710	2.9478756625350555E-7	446
10711	2.9478756625350555E-7	446
10712	1.965250441690037E-6	446
10713	8.647101943436162E-6	730
10714	2.9478756625350555E-7	446
10715	2.9478756625350555E-7	446
10716	3.635713317126568E-6	18888
10717	1.965250441690037E-6	1778
10718	2.9478756625350555E-7	8857
10719	2.9478756625350555E-7	446
1072	2.2010804946928405E-5	2991
10720	5.306176192563099E-6	16659
10721	9.384070859069921E-5	14095
10722	2.9478756625350555E-7	446
10723	8.647101943436162E-6	696
10724	1.965250441690037E-6	446
10725	2.9478756625350555E-7	446
10726	9.217024571526269E-5	1719
10727	1.965250441690037E-6	4606
